Stage,Size,pre_num,pre_gpu,TDP1,pre_TDP,fin_num,fin_gpu,TDP2,fin_TDP,infe_num,infe_gpu,TDP3,infe_TDP,pre_m,fin_m,infe_m,access,price1,pre_price,price2,fin_price,price3,infe_price
Med-PaLM,84B,,,,,,,,,,,,,,,,restricted,,,,,,
Med-PaLM,540B,,,,,,,,,,,,,,,,restricted,,,,,,
ChatDoctor,7B,,,,,6,NVIDIA TESLA A100-40GB,250,1500,,,,,,240,,open,,,6999,41994,,
Clinical Camel,13B,,,,,,,,,,,,,,,,open,,,,,,
Clinical Camel,70B,,,,,1,H100 GPU,300,300,2,NVIDIA A40,300,600,,80,96,open,,,45000,45000,7799,15598
MedAlpaca,,,,,,,,,,,,,,,,,open,,,,,,
MedAlpaca,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,open,,,4300,4300,,
MedAlpaca,13B,,,,,,,,,,,,,,,,open,,,,,,
PMC-LLaMA,,,,,,,,,,,,,,,,,restricted,,,,,,
PMC-LLaMA,7B,,,,,,,,,,,,,,,,restricted,,,,,,
PMC-LLaMA,13B,32,NVIDIA TESLA A100-40GB,250,8000,8,NVIDIA TESLA A100-40GB,250,2000,,,,,1280,320,,restricted,6999,223968,6999,55992,,
MEDITRON,7B,,,,,,,,,,,,,,,,restricted,,,,,,
MEDITRON,70B,128,NVIDIA TESLA A100-80GB,300,38400,,,,,,,,,10240,,,restricted,18000,2304000,,,,
Med-PaLM2,540B,,,,,,,,,,,,,,,,restricted,,,,,,
LLaVA,7B,,,,,,,,,,,,,,,,open,,,,,,
LLaVA-1.5,7B,,,,,,,,,,,,,,,,open,,,,,,
LLaVA-Med,7B,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,open,,,6999,55992,,
LLaVA-CXR,7B,,,,,,,,,,,,,,,,restricted,,,,,,
DeID-GPT (GPT-4),,,,,,,,,,,,,,,,,api,,,,,,
Claude-instant-v1.0,,,,,,,,,,,,,,,,,api,,,,,,
RO-LLaMA,7B,,,,,4,NVIDIA RTX A6000-48GB,300,1200,,,,,,192,,restricted,,,4680,18720,,
NYUTron,109M,24,NVIDIA TESLA A100-40GB,250,6000,8,NVIDIA TESLA A100-40GB,250,2000,,,,,960,320,,open,6999,167976,6999,55992,,
Clinical-longformer,150M,6,NVIDIA TESLA V100-32GB,250,1500,,,,,,,,,192,,,open,2098,12588,,,,
Flan-T5,250M,,,,,,,,,,,,,,,,open,,,,,,
Flan-T5,770M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
Flan-T5,2.7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,open,,,4300,4300,,
Flan-T5,11B,,,,,,,,,1,NVIDIA RTX A4000-16GB,140,140,,,16,open,,,,,1499,1499
DRG-LLaMA,7B,,,,,,,,,,,,,,,,open,,,,,,
DRG-LLaMA,13B,,,,,1,NVIDIA RTX A6000-48GB,300,300,,,,,,48,,open,,,4680,4680,,
EHRTutor (GPT-4),,,,,,,,,,,,,,,,,restricted,,,,,,
GatorTronGPT,5B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,640,,open,,,18000,144000,,
GatorTronGPT,20B,560,NVIDIA TESLA A100-80GB,300,168000,8,NVIDIA TESLA A100-80GB,300,2400,,,,,44800,640,,open,18000,10080000,18000,144000,,
GatorTronS,1B,,,,,,,,,,,,,,,,open,,,,,,
GatorTronS,5B,,,,,,,,,,,,,,,,open,,,,,,
GatorTronS,10B,,,,,,,,,,,,,,,,open,,,,,,
GatorTronS,20B,,,,,,,,,,,,,,,,open,,,,,,
BiomedGPT ,4.72B,10,NVIDIA A5000-24GB,230,2300,,,,,,,,,240,,,restricted,19001,190010,,,,
Clinical-BigBird,200M,6,NVIDIA TESLA V100-32GB,250,1500,,,,,2,NVIDIA A40,300,600,192,,96,restricted,2098,12588,,,7799,15598
Med-PaLM M,12B,,,,,,,,,,,,,,,,restricted,,,,,,
Med-PaLM M,84B,,,,,,,,,,,,,,,,restricted,,,,,,
Med-PaLM M,562B,,,,,,,,,,,,,,,,restricted,,,,,,
RadFM,14B,32,NVIDIA TESLA A100-80GB,300,9600,,,,,,,,,2560,,,open,18000,576000,,,,
Multi-modal AI,,,,,,,,,,,,,,,,,restricted,,,,,,
PLM-ICD,345M,,,,,1,NVIDIA RTX 3070,220,220,,,,,,8,,restricted,,,339,339,,
BERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,1,NVIDIA RTX 3090-24GB,350,350,,40,24,open,,,6999,6999,1600,1600
BERT,110M,,,,,,,,,,,,,,,,open,,,,,,
BioClinicalBERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
DeBERTa,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
PubMedGPT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
XLNet,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
RadBERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
RoBERTa,,,,,,1,NVIDIA TESLA A100-40GB,250,250,1,NVIDIA RTX 3090-24GB,350,350,,40,24,open,,,6999,6999,1600,1600
RoBERTa,345M,,,,,,,,,,,,,,,,open,,,,,,
BioClinRoBERTa,345M,,,,,,,,,,,,,,,,open,,,,,,
BioBERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
BioMegatron,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
GPT2,1.5B,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
GPT3,175B,,,,,,,,,,,,,,,,open,,,,,,
T5,,,,,,,,,,,,,,,,,open,,,,,,
T5,220M,,,,,,,,,,,,,,,,open,,,,,,
T5,770M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
T5,3B,1,32GB GPU,,,,,,,,,,,32,,,open,,,,,,
CAML,,,,,,,,,,,,,,,,,open,,,,,,
TRANS,,,,,,,,,,,,,,,,,open,,,,,,
PromptEHR,,,,,,,,,,,,,,,,,open,,,,,,
MedVINT,,,,,,,,,,,,,,,,,open,,,,,,
OpenFlamingo,,,,,,,,,,,,,,,,,open,,,,,,
SciFive,,,,,,,,,,,,,,,,,open,,,,,,
SciFive,220M,,,,,,,,,,,,,,,,open,,,,,,
SciFive,770M,,,,,,,,,,,,,,,,open,,,,,,
Clinical-T5,220M,8,NVIDIA RTX A6000-48GB,300,2400,,,,,,,,,384,,,open,4680,37440,,,,
Clinical-T5,770M,1,TPU v3.8 cluster (1800$),,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,1800,1800,6999,6999,,
Clinical-T5-Sci,,,,,,,,,,,,,,,,,open,,,,,,
Ziya-LLaMA-v1,13B,,,,,,,,,,,,,,,,open,,,,,,
ChatGLM2,6B,,,,,,,,,,,,,,,,open,,,,,,
MOSS-MOON-0030sft,,,,,,,,,,,,,,,,,open,,,,,,
PaLM2,,,,,,,,,,,,,,,,,open,,,,,,
Sensenova,,,,,,,,,,,,,,,,,open,,,,,,
Anthropic Claude2,,,,,,,,,,,,,,,,,open,,,,,,
BayLing,7B,,,,,,,,,,,,,,,,open,,,,,,
XrayGLM,,,,,,,,,,,,,,,,,open,,,,,,
Bianque v2,,,,,,,,,,,,,,,,,open,,,,,,
XrayPULSE,,,,,,,,,,,,,,,,,open,,,,,,
DoctorGLM,,,,,,,,,,,,,,,,,open,,,,,,
BenTsao,,,,,,,,,,,,,,,,,open,,,,,,
Baichuan,7B,,,,,,,,,,,,,,,,open,,,,,,
Llama2-Chat,7B,,,,,,,,,,,,,,,,open,,,,,,
Llama2-Chinese-Chat,7B,,,,,,,,,,,,,,,,open,,,,,,
Tigerbot-7B-chat-v3,7B,,,,,,,,,,,,,,,,open,,,,,,
Chinese-Alpaca-2,7B,,,,,,,,,,,,,,,,open,,,,,,
Chinese-Falcon,7B,,,,,,,,,,,,,,,,open,,,,,,
iFLYTEK Spark (V2.0),,,,,,,,,,,,,,,,,open,,,,,,
PGN,8M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
BERT2BERT,302M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
BART,406M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
BioBART,406M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
OPT,1.3B,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,open,,,6999,6999,,
Alpaca,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,open,,,4300,4300,,
Alpaca,13B,,,,,,,,,,,,,,,,open,,,,,,
FLAN-UL2,20B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,open,,,4300,4300,,
LongFormer,,,,,,,,,,,,,,,,,open,,,,,,
BLOOMZ,,,,,,,,,,,,,,,,,open,,,,,,
Galactica,,,,,,,,,,,,,,,,,open,,,,,,
Galactica,120B,,,,,,,,,,,,,,,,open,,,,,,
Gopher,,,,,,,,,,,,,,,,,open,,,,,,
Chinchilla,,,,,,,,,,,,,,,,,open,,,,,,
PubMedGPT,2.7B,1,32GB GPU,,,,,,,,,,,32,,,open,,,,,,
DRAGON,,,,,,,,,,,,,,,,,open,,,,,,
BioLinkBERT,,,,,,,,,,,,,,,,,open,,,,,,
PubMedBERT,,,,,,,,,,,,,,,,,open,,,,,,
GPT-Neo,,,,,,,,,,,,,,,,,open,,,,,,
Gemini-Pro,,,,,,,,,,,,,,,,,open,,,,,,
Mixtral,8x7B,,,,,,,,,,,,,,,,open,,,,,,
MPT,7B,,,,,,,,,,,,,,,,open,,,,,,
Falcon,7B,,,,,,,,,,,,,,,,open,,,,,,
Mistral,7B,,,,,,,,,,,,,,,,open,,,,,,
Zephyr,7B,,,,,,,,,,,,,,,,open,,,,,,
Med42,70B,,,,,,,,,2,NVIDIA A40,300,600,,,96,open,,,,,7799,15598
PubMedCLIP,,,,,,,,,,,,,,,,,open,,,,,,
BiomedCLIP,,,,,,,,,,,,,,,,,open,,,,,,
M2I2,,,,,,,,,,,,,,,,,open,,,,,,
ClinicalBERT,110M,,,,,,,,,1,NVIDIA RTX 3090-24GB,350,350,,,24,open,,,,,1600,1600
BioMedLM,,,,,,,,,,,,,,,,,open,,,,,,
Perplexity.ai,,,,,,,,,,,,,,,,,open,,,,,,
Command-xlarge-nightly,,,,,,,,,,,,,,,,,open,,,,,,
BioELECTRa,,,,,,,,,,,,,,,,,open,,,,,,
BioGPT,,,,,,,,,,,,,,,,,open,,,,,,
PaLM-E,84B,,,,,,,,,,,,,,,,open,,,,,,
HeLM,,,,,,,,,,,,,,,,,restricted,,,,,,
CXR-LLAVA,7B,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,open,,,6999,55992,,
Gemini-Pro-Vision,,,,,,,,,,,,,,,,,api,,,,,,
EEG-GPT (GPT-3),,,,,,,,,,,,,,,,,api,,,,,,
RadioLOGIC,,1,NVIDIA RTX A6000-48GB,300,300,,,,,,,,,48,,,open,4680,4680,,,,
RadioBERT,,,,,,,,,,,,,,,,,open,,,,,,
MedChatZH,7B,8,NVIDIA TESLA A100-40GB,250,2000,8,NVIDIA TESLA A100-40GB,250,2000,,,,,320,320,,open,6999,55992,6999,55992,,
HuatuoGPT,13B,,,,,,,,,,,,,,,,open,,,,,,
ChatGLM-Med,6B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA2-Chat,13B,,,,,,,,,,,,,,,,open,,,,,,
PMC-LLaMA-Chat,13B,,,,,,,,,,,,,,,,open,,,,,,
AlpaCare,13B,,,,,,,,,,,,,,,,open,,,,,,
Me LLaMA-Chat,13B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,open,18000,2880000,45000,360000,,
Me LLaMA-Chat,70B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,open,18000,2880000,45000,360000,,
Me LLaMA,13B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,open,18000,2880000,45000,360000,,
Me LLaMA,70B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,open,18000,2880000,45000,360000,,
MedPromptX,7B,,,,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,40,restricted,,,,,6999,6999
M3D-LaMed,,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,,,,640,,,open,18000,144000,,,,
LLaMA2-Chat,70B,,,,,,,,,2,NVIDIA A40,300,600,,,96,open,,,,,7799,15598
IT5,220M,,,,,,,,,,,,,,,,open,,,,,,
Meerkat,7B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,1,NVIDIA RTX 3090-24GB,350,350,,640,24,restricted,,,18000,144000,1600,1600
BioMistral,7B,,,,,,,,,,,,,,,,open,,,,,,
Mistral-Instruct,7B,,,,,,,,,,,,,,,,open,,,,,,
Polaris,,,,,,,,,,,,,,,,,restricted,,,,,,
MedVersa,7B,,,,,24,NVIDIA TESLA A100-80GB,300,7200,,,,,,1920,,restricted,,,18000,432000,,
MAIRA-1,,,,,,,,,,,,,,,,,open,,,,,,
FFA-GPT,,,,,,2,NVIDIA TESLA V100-32GB,250,500,,,,,,32,,restricted,,,2098,4196,,
Med-Gemini-2D,,,,,,,,,,,,,,,,,restricted,,,,,,
Gemini Ultra,,,,,,,,,,,,,,,,,api,,,,,,
Med-Gemini-3D,,,,,,,,,,,,,,,,,restricted,,,,,,
Med-Gemini-Polygenic,,,,,,,,,,,,,,,,,restricted,,,,,,
ORCA_mini,,,,,,,,,,,,,,,,,open,,,,,,
DFCIImagingBERT,110M,1,NVIDIA TESLA T4,70,70,,,,,,,,,16,,,restricted,1000,1000,,,,
Qwen-Chat,14B,,,,,2,NVIDIA TESLA A100-40GB,250,500,,,,,,80,,open,,,6999,13998,,
Baichuan2-Chat,13B,,,,,2,NVIDIA TESLA A100-40GB,250,500,,,,,,80,,open,,,6999,13998,,
ICPEM,248M,,,,,,,,,,,,,,,,restricted,,,,,,
WenZhong,3.5B,,,,,,,,,,,,,,,,open,,,,,,
Chinese-Bloom,7B,,,,,,,,,,,,,,,,open,,,,,,
Xiaoqing,6B,,,,,,,,,1,NVIDIA RTX 4090,450,450,,,32,open,,,,,1599,1599
IvyGPT,33B,,,,,,,,,,,,,,,,open,,,,,,
HuaTuo,7B,,,,,,,,,,,,,,,,open,,,,,,
LaMDA,,,,,,,,,,,,,,,,,open,,,,,,
Dia-LLaMA,7B,,,,,2,NVIDIA RTX 3090,350,350,,,,,,24,,restricted,,,1600,1600,,
Flan-PaLM,,,,,,,,,,,,,,,,,open,,,,,,
RadOnc-GPT,,,,,,,,,,,,,,,,,restricted,,,,,,
OncoGPT,7B,,,,,1,NVIDIA TESLA A100-80GB,300,300,,,,,,80,,open,,,18000,18000,,
ChIP-GPT,33B,,,,,1,NVIDIA TESLA A100-80GB,300,300,,,,,,80,,open,,,18000,18000,,
SM70,70B,,,,,,,,,,,,,,,,restricted,,,,,,
CC70,,,,,,,,,,,,,,,,,open,,,,,,
CheXagent,8B,,,,,,,,,,,,,,,,restricted,,,,,,
XrayGPT,,,,,,,,,,,,,,,,,open,,,,,,
DocOA,,,,,,,,,,,,,,,,,restricted,,,,,,
PeFoMed,7B,,,,,4,NVIDIA A40,300,1200,,,,,,192,,open,,,7799,31196,,
Llama3-Aloe-8B-Alpha,8B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,640,,restricted,,,18000,144000,,
Claude 3.5 Sonnet,,,,,,,,,,,,,,,,,api,,,,,,
GPT 4o,,,,,,,,,,,,,,,,,api,,,,,,
LLaMA3,,,,,,,,,,,,,,,,,open,,,,,,
Gemini 1.5,,,,,,,,,,,,,,,,,api,,,,,,
Gemini,,,,,,,,,,,,,,,,,api,,,,,,
GPT-4o-mini,,,,,,,,,,,,,,,,,api,,,,,,
Mistral Large,,,,,,,,,,,,,,,,,open,,,,,,
LLaMA3.1,70B,,,,,,,,,,,,,,,,open,,,,,,
Mixtral,8x22B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA2-Chat,70B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA3,70B,,,,,,,,,,,,,,,,open,,,,,,
sumGPT,,,,,,,,,,,,,,,,,restricted,,,,,,
DeepSeek-V3,,,,,,,,,,,,,,,,,open,,,,,,
EyeGPT,,,,,,3,NVIDIA TESLA V100-32GB,250,750,,,,,,96,,restricted,,,2098,6294,,
Mistral-Instruct-v0.2,7B,,,,,,,,,,,,,,,,open,,,,,,
Mixtral-v0.1,8x7B,,,,,,,,,,,,,,,,open,,,,,,
nus-hermeses-llama2,70B,,,,,,,,,,,,,,,,open,,,,,,
openchat-3.5-1210,,,,,,,,,,,,,,,,,open,,,,,,
BioMistral DARE,7B,,,,,,,,,,,,,,,,open,,,,,,
Copilot,,,,,,,,,,,,,,,,,api,,,,,,
Chatsonic,,,,,,,,,,,,,,,,,open,,,,,,
BrainGPT,,,,,,2,NVIDIA TESLA A100-40GB,250,500,,,,,,80,,open,,,6999,13998,,
MMed-Llama 3,8B,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,,,,320,,,open,6999,55992,,,,
MedFound,176B,,,,,,,,,,,,,,,,open,,,,,,
Hypnos,,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,restricted,,,6999,55992,,
ChatMed,,,,,,,,,,,,,,,,,open,,,,,,
QiZhenGPT,,,,,,,,,,,,,,,,,open,,,,,,
BianQue-2,,,,,,,,,,,,,,,,,open,,,,,,
Gemini-1.0-pro,,,,,,,,,,,,,,,,,api,,,,,,
Gemini-1.5-pro,,,,,,,,,,,,,,,,,api,,,,,,
Claude-2.1,,,,,,,,,,,,,,,,,api,,,,,,
Claude 3 Opus,,,,,,,,,,,,,,,,,api,,,,,,
MMedIns-Llama 3,8B,,,,,,,,,,,,,,,,open,,,,,,
MEDITRON,,,,,,,,,,,,,,,,,open,,,,,,
Mistral,,,,,,,,,,,,,,,,,open,,,,,,
InternLM 2,,,,,,,,,,,,,,,,,open,,,,,,
Qwen 2,,,,,,,,,,,,,,,,,open,,,,,,
Baichuan 2,,,,,,,,,,,,,,,,,open,,,,,,
Med42-v2,,,,,,,,,,,,,,,,,open,,,,,,
Mistral-Small,,,,,,,,,,,,,,,,,open,,,,,,
Qwen2.5,32B,,,,,,,,,,,,,,,,open,,,,,,
OpenBioLLM-Llama-3,70B,,,,,,,,,,,,,,,,open,,,,,,
Phi-3-medium-128k,,,,,,,,,,,,,,,,,open,,,,,,
LLaMA3,8B,,,,,,,,,,,,,,,,open,,,,,,
Gemma2,27B,,,,,,,,,,,,,,,,open,,,,,,
OpenBioLLM-Llama-3,8B,,,,,,,,,,,,,,,,open,,,,,,
CogVLM Chat v1.1,,,,,,,,,,,,,,,,,open,,,,,,
LLaVA v1.5,13B,,,,,,,,,,,,,,,,open,,,,,,
LLaVA v1.6,34B,,,,,,,,,,,,,,,,open,,,,,,
InternVL-Chat-V1.5-Int8,,,,,,,,,,,,,,,,,open,,,,,,
Claude 3 Haiku,,,,,,,,,,,,,,,,,api,,,,,,
Claude 3 Sonnet,,,,,,,,,,,,,,,,,api,,,,,,
Gemini 1.0 Pro Vision,,,,,,,,,,,,,,,,,api,,,,,,
MiniMedGPT,106M,1,NVIDIA TESLA A100-80GB,300,300,,,,,,,,,80,,,restricted,18000,18000,,,,
MUMC,,,,,,,,,,,,,,,,,open,,,,,,
MiniGPT4-v2,,,,,,,,,,,,,,,,,open,,,,,,
Qwen1.5,72B,,,,,,,,,,,,,,,,open,,,,,,
CheXbert,,,,,,,,,,,,,,,,,open,,,,,,
CheXpert-labeler,,,,,,,,,,,,,,,,,open,,,,,,
WiNGPT,7B,,,,,,,,,,,,,,,,restricted,,,,,,
Vicuna 1.5,7B,,,,,,,,,,,,,,,,open,,,,,,
Vicuna 1.5,13B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA3.1,405B,,,,,,,,,,,,,,,,open,,,,,,
GPT-4o1,,,,,,,,,,,,,,,,,api,,,,,,
medBERT.de,,,,,,,,,,,,,,,,,open,,,,,,
MammoVLM,9B,,,,,24,NVIDIA TESLA A100-40GB,250,6000,,,,,,960,,restricted,,,6999,167976,,
InternVL,,,,,,,,,,,,,,,,,open,,,,,,
HuatuoGPT-Vision,34B,,,,,,,,,,,,,,,,open,,,,,,
RetinalGPT,,,,,,4,NVIDIA TESLA A100-80GB,300,1200,,,,,,320,,open,,,18000,72000,,
LLaMA-3.2-Vision,11B,,,,,,,,,,,,,,,,open,,,,,,
EndoChat,,4,NVIDIA TESLA A800-40GB,240,960,,,,,,,,,,160,,open,,,10600,42400,,
SPHINX,,,,,,,,,,,,,,,,,open,,,,,,
Qwen2-VL,,,,,,,,,,,,,,,,,open,,,,,,
MiniGPT-Pancreas,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,restricted,,,6999,6999,,
Med-2E3,,,,,,2,NVIDIA TESLA A800-80GB,300,600,,,,,,160,,restricted,,,20360,40720,,
SlideChat,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,1,NVIDIA TESLA A100-40GB,250,250,320,,40,open,6999,55992,,,6999,6999
RespLLM,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,restricted,,,6999,6999,,
OrthoDoc,,,,,,,,,,,,,,,,,restricted,,,,,,
ECG-Chat,13B,,,,,,,,,,,,,,,,restricted,,,,,,
LLaVA-Surg,,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,open,,,6999,55992,,
Video-ChatGPT,,,,,,,,,,,,,,,,,open,,,,,,
Video-LLaVA,,,,,,,,,,,,,,,,,open,,,,,,
LLaVA-Ultra,,,,,,4,NVIDIA A40,300,1200,,,,,,192,,restricted,,,7799,31196,,
LLaVA-v1.5-LLaMA3,8B,,,,,,,,,,,,,,,,open,,,,,,
LLaVA v1.6,7B,,,,,,,,,,,,,,,,open,,,,,,
LLaVA v1.6,13B,,,,,,,,,,,,,,,,open,,,,,,
MAIRA-2,7B,16,NVIDIA TESLA A100-40GB,250,4000,,,,,,,,,640,,,open,6999,111984,,,,
LLaVA-Rad,,,,,,,,,,,,,,,,,open,,,,,,
PFMVG,,,,,,4,NVIDIA TESLA A100-40GB,250,1000,,,,,,160,,open,,,6999,27996,,
MedKLIP,,,,,,,,,,,,,,,,,open,,,,,,
Gloria,,,,,,,,,,,,,,,,,open,,,,,,
Biovil,,,,,,,,,,,,,,,,,open,,,,,,
OpenBioLLM,8B,,,,,,,,,,,,,,,,open,,,,,,
OpenBioLLM,70B,,,,,,,,,,,,,,,,open,,,,,,
UltraMedical,8B,,,,,,,,,,,,,,,,open,,,,,,
UltraMedical,70B,,,,,,,,,,,,,,,,open,,,,,,
Yi-1.5-Chat,9B,,,,,,,,,,,,,,,,open,,,,,,
Yi-1.5-Chat,34B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA-3.1-Instruct,8B,,,,,,,,,,,,,,,,open,,,,,,
LLaMA-3.1-Instruct,70B,,,,,,,,,,,,,,,,open,,,,,,
GLM-4-Chat,9B,,,,,,,,,,,,,,,,open,,,,,,
Qwen2.5-Instruct,7B,,,,,,,,,,,,,,,,open,,,,,,
Qwen2.5-Instruct,72B,,,,,,,,,,,,,,,,open,,,,,,
