Stage,Size,pre_num,pre_gpu,TDP1,pre_TDP,fin_num,fin_gpu,TDP2,fin_TDP,infe_num,infe_gpu,TDP3,infe_TDP,pre_m,fin_m,infe_m,access,price1,pre_price,price2,fin_price,price3,infe_price
Med-PaLM,12B,,,,,,,,,,,,,,,,Restricted,,,,,,
Med-PaLM,84B,,,,,,,,,,,,,,,,Restricted,,,,,,
Med-PaLM,540B,,,,,,,,,,,,,,,,Restricted,,,,,,
ChatDoctor,7B,,,,,6,NVIDIA TESLA A100-40GB,250,1500,,,,,,240,,Open,,,6999,41994,,
Clinical Camel,13B,,,,,,,,,,,,,,,,Open,,,,,,
Clinical Camel,70B,,,,,1,H100 GPU,300,300,2,NVIDIA A40,300,600,,80,96,Open,,,45000,45000,7799,15598
MedAlpaca,,,,,,,,,,,,,,,,,Open,,,,,,
MedAlpaca,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,Open,,,4300,4300,,
MedAlpaca,13B,,,,,,,,,,,,,,,,Open,,,,,,
PMC-LLaMA,,,,,,,,,,,,,,,,,Restricted,,,,,,
PMC-LLaMA,7B,,,,,,,,,,,,,,,,Restricted,,,,,,
PMC-LLaMA,13B,32,NVIDIA TESLA A100-40GB,250,8000,8,NVIDIA TESLA A100-40GB,250,2000,,,,,1280,320,,Restricted,6999,223968,6999,55992,,
MEDITRON,7B,,,,,,,,,,,,,,,,Restricted,,,,,,
MEDITRON,70B,128,NVIDIA TESLA A100-80GB,300,38400,,,,,,,,,10240,,,Restricted,18000,2304000,,,,
Med-PaLM2,540B,,,,,,,,,,,,,,,,Restricted,,,,,,
LLaVA,7B,,,,,,,,,,,,,,,,Open,,,,,,
LLaVA-1.5,7B,,,,,,,,,,,,,,,,Open,,,,,,
LLaVA-Med,7B,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,Open,,,6999,55992,,
LLaVA-CXR,7B,,,,,,,,,,,,,,,,Restricted,,,,,,
DeID-GPT (GPT-4),,,,,,,,,,,,,,,,,API,,,,,,
Claude-instant-v1.0,,,,,,,,,,,,,,,,,API,,,,,,
RO-LLaMA,7B,,,,,4,NVIDIA RTX A6000-48GB,300,1200,,,,,,192,,Restricted,,,4680,18720,,
NYUTron,109M,24,NVIDIA TESLA A100-40GB,250,6000,8,NVIDIA TESLA A100-40GB,250,2000,,,,,960,320,,Open,6999,167976,6999,55992,,
Clinical-longformer,150M,6,NVIDIA TESLA V100-32GB,250,1500,,,,,,,,,192,,,Open,2098,12588,,,,
Flan-T5,250M,,,,,,,,,,,,,,,,Open,,,,,,
Flan-T5,770M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
Flan-T5,2.7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,Open,,,4300,4300,,
Flan-T5,11B,,,,,,,,,1,NVIDIA RTX A4000-16GB,140,140,,,16,Open,,,,,1499,1499
DRG-LLaMA,7B,,,,,,,,,,,,,,,,Open,,,,,,
DRG-LLaMA,13B,,,,,1,NVIDIA RTX A6000-48GB,300,300,,,,,,48,,Open,,,4680,4680,,
EHRTutor (GPT-4),,,,,,,,,,,,,,,,,Restricted,,,,,,
GatorTronGPT,5B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,640,,Open,,,18000,144000,,
GatorTronGPT,20B,560,NVIDIA TESLA A100-80GB,300,168000,8,NVIDIA TESLA A100-80GB,300,2400,,,,,44800,640,,Open,18000,10080000,18000,144000,,
GatorTronS,1B,,,,,,,,,,,,,,,,Open,,,,,,
GatorTronS,5B,,,,,,,,,,,,,,,,Open,,,,,,
GatorTronS,10B,,,,,,,,,,,,,,,,Open,,,,,,
GatorTronS,20B,,,,,,,,,,,,,,,,Open,,,,,,
BiomedGPT ,4.72B,10,NVIDIA A5000-24GB,230,2300,,,,,,,,,240,,,Restricted,19001,190010,,,,
Clinical-BigBird,200M,6,NVIDIA TESLA V100-32GB,250,1500,,,,,2,NVIDIA A40,300,600,192,,96,Restricted,2098,12588,,,7799,15598
Med-PaLM M,12B,,,,,,,,,,,,,,,,Restricted,,,,,,
Med-PaLM M,84B,,,,,,,,,,,,,,,,Restricted,,,,,,
Med-PaLM M,562B,,,,,,,,,,,,,,,,Restricted,,,,,,
RadFM,14B,32,NVIDIA TESLA A100-80GB,300,9600,,,,,,,,,2560,,,Open,18000,576000,,,,
LLMSeg,,,,,,,,,,,,,,,,,Open,,,,,,
PLM-ICD,345M,,,,,1,NVIDIA RTX 3070,220,220,,,,,,8,,Restricted,,,339,339,,
BERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,1,NVIDIA RTX 3090-24GB,350,350,,40,24,Open,,,6999,6999,1600,1600
BERT,110M,,,,,,,,,,,,,,,,Open,,,,,,
BioClinicalBERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
DeBERTa,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
PubMedGPT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
XLNet,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
RadBERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
RoBERTa,,,,,,1,NVIDIA TESLA A100-40GB,250,250,1,NVIDIA RTX 3090-24GB,350,350,,40,24,Open,,,6999,6999,1600,1600
RoBERTa,345M,,,,,,,,,,,,,,,,Open,,,,,,
BioClinRoBERTa,345M,,,,,,,,,,,,,,,,Open,,,,,,
BioBERT,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
BioMegatron,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
GPT2,1.5B,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
GPT3,175B,,,,,,,,,,,,,,,,Open,,,,,,
T5,,,,,,,,,,,,,,,,,Open,,,,,,
T5,220M,,,,,,,,,,,,,,,,Open,,,,,,
T5,770M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
T5,3B,1,32GB GPU,,,,,,,,,,,32,,,Open,,,,,,
CAML,,,,,,,,,,,,,,,,,Open,,,,,,
TRANS,,,,,,,,,,,,,,,,,Open,,,,,,
PromptEHR,,,,,,,,,,,,,,,,,Open,,,,,,
MedVINT,,,,,,,,,,,,,,,,,Open,,,,,,
OpenFlamingo,,,,,,,,,,,,,,,,,Open,,,,,,
SciFive,,,,,,,,,,,,,,,,,Open,,,,,,
SciFive,220M,,,,,,,,,,,,,,,,Open,,,,,,
SciFive,770M,,,,,,,,,,,,,,,,Open,,,,,,
Clinical-T5,220M,8,NVIDIA RTX A6000-48GB,300,2400,,,,,,,,,384,,,Open,4680,37440,,,,
Clinical-T5,770M,1,TPU v3.8 cluster (1800$),,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,1800,1800,6999,6999,,
Clinical-T5-Sci,,,,,,,,,,,,,,,,,Open,,,,,,
Ziya-LLaMA-v1,13B,,,,,,,,,,,,,,,,Open,,,,,,
ChatGLM2,6B,,,,,,,,,,,,,,,,Open,,,,,,
MOSS-MOON-0030sft,,,,,,,,,,,,,,,,,Open,,,,,,
PaLM2,,,,,,,,,,,,,,,,,Open,,,,,,
Sensenova,,,,,,,,,,,,,,,,,Open,,,,,,
Anthropic Claude2,,,,,,,,,,,,,,,,,Open,,,,,,
BayLing,7B,,,,,,,,,,,,,,,,Open,,,,,,
XrayGLM,,,,,,,,,,,,,,,,,Open,,,,,,
Bianque v2,,,,,,,,,,,,,,,,,Open,,,,,,
XrayPULSE,,,,,,,,,,,,,,,,,Open,,,,,,
DoctorGLM,,,,,,,,,,,,,,,,,Open,,,,,,
BenTsao,,,,,,,,,,,,,,,,,Open,,,,,,
Baichuan,7B,,,,,,,,,,,,,,,,Open,,,,,,
Llama2-Chat,7B,,,,,,,,,,,,,,,,Open,,,,,,
Llama2-Chinese-Chat,7B,,,,,,,,,,,,,,,,Open,,,,,,
Tigerbot-7B-chat-v3,7B,,,,,,,,,,,,,,,,Open,,,,,,
Chinese-Alpaca-2,7B,,,,,,,,,,,,,,,,Open,,,,,,
Chinese-Falcon,7B,,,,,,,,,,,,,,,,Open,,,,,,
iFLYTEK Spark (V2.0),,,,,,,,,,,,,,,,,Open,,,,,,
PGN,8M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
BERT2BERT,302M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
BART,406M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
BioBART,406M,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
OPT,1.3B,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Open,,,6999,6999,,
Alpaca,7B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,Open,,,4300,4300,,
Alpaca,13B,,,,,,,,,,,,,,,,Open,,,,,,
FLAN-UL2,20B,,,,,1,NVIDIA Quadro RTX 8000,295,295,,,,,,48,,Open,,,4300,4300,,
LongFormer,,,,,,,,,,,,,,,,,Open,,,,,,
BLOOMZ,,,,,,,,,,,,,,,,,Open,,,,,,
Galactica,,,,,,,,,,,,,,,,,Open,,,,,,
Galactica,120B,,,,,,,,,,,,,,,,Open,,,,,,
Gopher,,,,,,,,,,,,,,,,,Open,,,,,,
Chinchilla,,,,,,,,,,,,,,,,,Open,,,,,,
PubMedGPT,2.7B,1,32GB GPU,,,,,,,,,,,32,,,Open,,,,,,
DRAGON,,,,,,,,,,,,,,,,,Open,,,,,,
BioLinkBERT,,,,,,,,,,,,,,,,,Open,,,,,,
PubMedBERT,,,,,,,,,,,,,,,,,Open,,,,,,
GPT-Neo,,,,,,,,,,,,,,,,,Open,,,,,,
Gemini-Pro,,,,,,,,,,,,,,,,,Open,,,,,,
Mixtral,8x7B,,,,,,,,,,,,,,,,Open,,,,,,
MPT,7B,,,,,,,,,,,,,,,,Open,,,,,,
Falcon,7B,,,,,,,,,,,,,,,,Open,,,,,,
Mistral,7B,,,,,,,,,,,,,,,,Open,,,,,,
Zephyr,7B,,,,,,,,,,,,,,,,Open,,,,,,
Med42,70B,,,,,,,,,2,NVIDIA A40,300,600,,,96,Open,,,,,7799,15598
PubMedCLIP,,,,,,,,,,,,,,,,,Open,,,,,,
BiomedCLIP,,,,,,,,,,,,,,,,,Open,,,,,,
M2I2,,,,,,,,,,,,,,,,,Open,,,,,,
ClinicalBERT,110M,,,,,,,,,1,NVIDIA RTX 3090-24GB,350,350,,,24,Open,,,,,1600,1600
BioMedLM,,,,,,,,,,,,,,,,,Open,,,,,,
Perplexity.ai,,,,,,,,,,,,,,,,,Open,,,,,,
Command-xlarge-nightly,,,,,,,,,,,,,,,,,Open,,,,,,
BioELECTRa,,,,,,,,,,,,,,,,,Open,,,,,,
BioGPT,,,,,,,,,,,,,,,,,Open,,,,,,
PaLM-E,84B,,,,,,,,,,,,,,,,Open,,,,,,
HeLM,,,,,,,,,,,,,,,,,Restricted,,,,,,
CXR-LLAVA,7B,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,Open,,,6999,55992,,
Gemini-Pro-Vision,,,,,,,,,,,,,,,,,API,,,,,,
EEG-GPT (GPT-3),,,,,,,,,,,,,,,,,API,,,,,,
RadioLOGIC,,1,NVIDIA RTX A6000-48GB,300,300,,,,,,,,,48,,,Open,4680,4680,,,,
RadioBERT,,,,,,,,,,,,,,,,,Open,,,,,,
MedChatZH,7B,8,NVIDIA TESLA A100-40GB,250,2000,8,NVIDIA TESLA A100-40GB,250,2000,,,,,320,320,,Open,6999,55992,6999,55992,,
HuatuoGPT,13B,,,,,,,,,,,,,,,,Open,,,,,,
ChatGLM-Med,6B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA2-Chat,13B,,,,,,,,,,,,,,,,Open,,,,,,
PMC-LLaMA-Chat,13B,,,,,,,,,,,,,,,,Open,,,,,,
AlpaCare,13B,,,,,,,,,,,,,,,,Open,,,,,,
Me LLaMA-Chat,13B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,Open,18000,2880000,45000,360000,,
Me LLaMA-Chat,70B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,Open,18000,2880000,45000,360000,,
Me LLaMA,13B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,Open,18000,2880000,45000,360000,,
Me LLaMA,70B,160,NVIDIA TESLA A100-80GB,300,48000,8,H100 GPU,300,2400,,,,,12800,640,,Open,18000,2880000,45000,360000,,
MedPromptX,7B,,,,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,40,Restricted,,,,,6999,6999
M3D-LaMed,,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,,,,640,,,Open,18000,144000,,,,
LLaMA2-Chat,70B,,,,,,,,,2,NVIDIA A40,300,600,,,96,Open,,,,,7799,15598
IT5,220M,,,,,,,,,,,,,,,,Open,,,,,,
Meerkat,7B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,1,NVIDIA RTX 3090-24GB,350,350,,640,24,Restricted,,,18000,144000,1600,1600
BioMistral,7B,,,,,,,,,,,,,,,,Open,,,,,,
Mistral-Instruct,7B,,,,,,,,,,,,,,,,Open,,,,,,
Polaris,,,,,,,,,,,,,,,,,Restricted,,,,,,
MedVersa,7B,,,,,24,NVIDIA TESLA A100-80GB,300,7200,,,,,,1920,,Restricted,,,18000,432000,,
MAIRA-1,,,,,,,,,,,,,,,,,Open,,,,,,
FFA-GPT,,,,,,2,NVIDIA TESLA V100-32GB,250,500,,,,,,32,,Restricted,,,2098,4196,,
Med-Gemini-2D,,,,,,,,,,,,,,,,,Restricted,,,,,,
Gemini Ultra,,,,,,,,,,,,,,,,,API,,,,,,
Med-Gemini-3D,,,,,,,,,,,,,,,,,Restricted,,,,,,
Med-Gemini-Polygenic,,,,,,,,,,,,,,,,,Restricted,,,,,,
ORCA_mini,,,,,,,,,,,,,,,,,Open,,,,,,
DFCIImagingBERT,110M,1,NVIDIA TESLA T4,70,70,,,,,,,,,16,,,Restricted,1000,1000,,,,
Qwen-Chat,14B,,,,,2,NVIDIA TESLA A100-40GB,250,500,,,,,,80,,Open,,,6999,13998,,
Baichuan2-Chat,13B,,,,,2,NVIDIA TESLA A100-40GB,250,500,,,,,,80,,Open,,,6999,13998,,
ICPEM,248M,,,,,,,,,,,,,,,,Restricted,,,,,,
WenZhong,3.5B,,,,,,,,,,,,,,,,Open,,,,,,
Chinese-Bloom,7B,,,,,,,,,,,,,,,,Open,,,,,,
Xiaoqing,6B,,,,,,,,,1,NVIDIA RTX 4090,450,450,,,32,Open,,,,,1599,1599
IvyGPT,33B,,,,,,,,,,,,,,,,Open,,,,,,
HuaTuo,7B,,,,,,,,,,,,,,,,Open,,,,,,
LaMDA,,,,,,,,,,,,,,,,,Open,,,,,,
Dia-LLaMA,7B,,,,,2,NVIDIA RTX 3090,350,350,,,,,,24,,Restricted,,,1600,1600,,
Flan-PaLM,,,,,,,,,,,,,,,,,Open,,,,,,
RadOnc-GPT,,,,,,,,,,,,,,,,,Restricted,,,,,,
OncoGPT,7B,,,,,1,NVIDIA TESLA A100-80GB,300,300,,,,,,80,,Open,,,18000,18000,,
ChIP-GPT,33B,,,,,1,NVIDIA TESLA A100-80GB,300,300,,,,,,80,,Open,,,18000,18000,,
SM70,70B,,,,,,,,,,,,,,,,Restricted,,,,,,
CC70,,,,,,,,,,,,,,,,,Open,,,,,,
CheXagent,8B,,,,,,,,,,,,,,,,Restricted,,,,,,
XrayGPT,,,,,,,,,,,,,,,,,Open,,,,,,
DocOA,,,,,,,,,,,,,,,,,Restricted,,,,,,
PeFoMed,7B,,,,,4,NVIDIA A40,300,1200,,,,,,192,,Open,,,7799,31196,,
Llama3-Aloe-8B-Alpha,8B,,,,,8,NVIDIA TESLA A100-80GB,300,2400,,,,,,640,,Restricted,,,18000,144000,,
Claude 3.5 Sonnet,,,,,,,,,,,,,,,,,API,,,,,,
GPT 4o,,,,,,,,,,,,,,,,,API,,,,,,
LLaMA3,,,,,,,,,,,,,,,,,Open,,,,,,
Gemini 1.5,,,,,,,,,,,,,,,,,API,,,,,,
Gemini,,,,,,,,,,,,,,,,,API,,,,,,
GPT-4o-mini,,,,,,,,,,,,,,,,,API,,,,,,
Mistral Large,,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA3.1,70B,,,,,,,,,,,,,,,,Open,,,,,,
Mixtral,8x22B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA2-Chat,70B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA3,70B,,,,,,,,,,,,,,,,Open,,,,,,
sumGPT,,,,,,,,,,,,,,,,,Restricted,,,,,,
DeepSeek-V3,,,,,,,,,,,,,,,,,Open,,,,,,
EyeGPT,,,,,,3,NVIDIA TESLA V100-32GB,250,750,,,,,,96,,Restricted,,,2098,6294,,
Mistral-Instruct-v0.2,7B,,,,,,,,,,,,,,,,Open,,,,,,
Mixtral-v0.1,8x7B,,,,,,,,,,,,,,,,Open,,,,,,
nus-hermeses-llama2,70B,,,,,,,,,,,,,,,,Open,,,,,,
Openchat-3.5-1210,,,,,,,,,,,,,,,,,Open,,,,,,
BioMistral DARE,7B,,,,,,,,,,,,,,,,Open,,,,,,
Copilot,,,,,,,,,,,,,,,,,API,,,,,,
Chatsonic,,,,,,,,,,,,,,,,,Open,,,,,,
BrainGPT,,,,,,2,NVIDIA TESLA A100-40GB,250,500,,,,,,80,,Open,,,6999,13998,,
MMed-Llama 3,8B,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,,,,320,,,Open,6999,55992,,,,
MedFound,176B,,,,,,,,,,,,,,,,Open,,,,,,
Hypnos,,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,Restricted,,,6999,55992,,
ChatMed,,,,,,,,,,,,,,,,,Open,,,,,,
QiZhenGPT,,,,,,,,,,,,,,,,,Open,,,,,,
BianQue-2,,,,,,,,,,,,,,,,,Open,,,,,,
Gemini-1.0-pro,,,,,,,,,,,,,,,,,API,,,,,,
Gemini-1.5-pro,,,,,,,,,,,,,,,,,API,,,,,,
Claude-2.1,,,,,,,,,,,,,,,,,API,,,,,,
Claude 3 Opus,,,,,,,,,,,,,,,,,API,,,,,,
MMedIns-Llama 3,8B,,,,,,,,,,,,,,,,Open,,,,,,
MEDITRON,,,,,,,,,,,,,,,,,Open,,,,,,
Mistral,,,,,,,,,,,,,,,,,Open,,,,,,
InternLM 2,,,,,,,,,,,,,,,,,Open,,,,,,
Qwen 2,,,,,,,,,,,,,,,,,Open,,,,,,
Baichuan 2,,,,,,,,,,,,,,,,,Open,,,,,,
Med42-v2,,,,,,,,,,,,,,,,,Open,,,,,,
Mistral-Small,,,,,,,,,,,,,,,,,Open,,,,,,
Qwen2.5,32B,,,,,,,,,,,,,,,,Open,,,,,,
OpenBioLLM-Llama-3,70B,,,,,,,,,,,,,,,,Open,,,,,,
Phi-3-medium-128k,,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA3,8B,,,,,,,,,,,,,,,,Open,,,,,,
Gemma2,27B,,,,,,,,,,,,,,,,Open,,,,,,
OpenBioLLM-Llama-3,8B,,,,,,,,,,,,,,,,Open,,,,,,
CogVLM Chat v1.1,,,,,,,,,,,,,,,,,Open,,,,,,
LLaVA v1.5,13B,,,,,,,,,,,,,,,,Open,,,,,,
LLaVA v1.6,34B,,,,,,,,,,,,,,,,Open,,,,,,
InternVL-Chat-V1.5-Int8,,,,,,,,,,,,,,,,,Open,,,,,,
Claude 3 Haiku,,,,,,,,,,,,,,,,,API,,,,,,
Claude 3 Sonnet,,,,,,,,,,,,,,,,,API,,,,,,
Gemini 1.0 Pro Vision,,,,,,,,,,,,,,,,,API,,,,,,
MiniMedGPT,106M,1,NVIDIA TESLA A100-80GB,300,300,,,,,,,,,80,,,Restricted,18000,18000,,,,
MUMC,,,,,,,,,,,,,,,,,Open,,,,,,
MiniGPT4-v2,,,,,,,,,,,,,,,,,Open,,,,,,
Qwen1.5,72B,,,,,,,,,,,,,,,,Open,,,,,,
CheXbert,,,,,,,,,,,,,,,,,Open,,,,,,
CheXpert-labeler,,,,,,,,,,,,,,,,,Open,,,,,,
WiNGPT,7B,,,,,,,,,,,,,,,,Restricted,,,,,,
Vicuna 1.5,7B,,,,,,,,,,,,,,,,Open,,,,,,
Vicuna 1.5,13B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA3.1,405B,,,,,,,,,,,,,,,,Open,,,,,,
GPT-4o1,,,,,,,,,,,,,,,,,API,,,,,,
medBERT.de,,,,,,,,,,,,,,,,,Open,,,,,,
MammoVLM,9B,,,,,24,NVIDIA TESLA A100-40GB,250,6000,,,,,,960,,Restricted,,,6999,167976,,
InternVL,,,,,,,,,,,,,,,,,Open,,,,,,
HuatuoGPT-Vision,34B,,,,,,,,,,,,,,,,Open,,,,,,
RetinalGPT,,,,,,4,NVIDIA TESLA A100-80GB,300,1200,,,,,,320,,Open,,,18000,72000,,
LLaMA-3.2-Vision,11B,,,,,,,,,,,,,,,,Open,,,,,,
EndoChat,,4,NVIDIA TESLA A800-40GB,240,960,,,,,,,,,,160,,Open,,,10600,42400,,
SPHINX,,,,,,,,,,,,,,,,,Open,,,,,,
Qwen2-VL,,,,,,,,,,,,,,,,,Open,,,,,,
MiniGPT-Pancreas,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Restricted,,,6999,6999,,
Med-2E3,,,,,,2,NVIDIA TESLA A800-80GB,300,600,,,,,,160,,Restricted,,,20360,40720,,
SlideChat,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,1,NVIDIA TESLA A100-40GB,250,250,320,,40,Open,6999,55992,,,6999,6999
RespLLM,,,,,,1,NVIDIA TESLA A100-40GB,250,250,,,,,,40,,Restricted,,,6999,6999,,
OrthoDoc,,,,,,,,,,,,,,,,,Restricted,,,,,,
ECG-Chat,13B,,,,,,,,,,,,,,,,Restricted,,,,,,
LLaVA-Surg,,,,,,8,NVIDIA TESLA A100-40GB,250,2000,,,,,,320,,Open,,,6999,55992,,
Video-ChatGPT,,,,,,,,,,,,,,,,,Open,,,,,,
Video-LLaVA,,,,,,,,,,,,,,,,,Open,,,,,,
LLaVA-Ultra,,,,,,4,NVIDIA A40,300,1200,,,,,,192,,Restricted,,,7799,31196,,
LLaVA-v1.5-LLaMA3,8B,,,,,,,,,,,,,,,,Open,,,,,,
LLaVA v1.6,7B,,,,,,,,,,,,,,,,Open,,,,,,
LLaVA v1.6,13B,,,,,,,,,,,,,,,,Open,,,,,,
MAIRA-2,7B,16,NVIDIA TESLA A100-40GB,250,4000,,,,,,,,,640,,,Open,6999,111984,,,,
LLaVA-Rad,,,,,,,,,,,,,,,,,Open,,,,,,
PFMVG,,,,,,4,NVIDIA TESLA A100-40GB,250,1000,,,,,,160,,Open,,,6999,27996,,
MedKLIP,,,,,,,,,,,,,,,,,Open,,,,,,
Gloria,,,,,,,,,,,,,,,,,Open,,,,,,
Biovil,,,,,,,,,,,,,,,,,Open,,,,,,
OpenBioLLM,8B,,,,,,,,,,,,,,,,Open,,,,,,
OpenBioLLM,70B,,,,,,,,,,,,,,,,Open,,,,,,
UltraMedical,8B,,,,,,,,,,,,,,,,Open,,,,,,
UltraMedical,70B,,,,,,,,,,,,,,,,Open,,,,,,
